id,time
17532,39147
30026,380260
212429,923097
221550,50
376019,56
415522,3592305
552786,812205
745850,2097
874242,288611
883049,25
1397653,1774659
2097670,12
2379878,1686
2539276,1269
2569187,6395
2993200,3169280
3073243,10
3129387,589362
3208235,111
3429560,140614
3459721,807397
3514550,18
4193749,2521614
4512406,94
4515135,137
4542025,1
4911400,3141050
5048349,1090
6144262,1257
6192837,1181662
6483709,62
6786106,6095
7028877,388
7728229,7874
7854027,102282
8070557,8
8329871,352
8578349,2350484
9614412,6
9622039,374
11419915,40432
12315670,579370
12427717,4
12727893,17778
13886632,10
14301214,149
14322966,93
14379092,426
15277539,26
16594080,0
16597475,155
16944161,4
18665896,2057
19456112,1233907
19672432,186
20293674,247338
20498058,97
20590134,23218
20721649,74680
20907068,386181
20949496,1095567
22388854,15866
24476799,536
25236845,78
25373220,4
25500211,1182
27054162,1155188
27260860,464
29002002,11488
30363224,8
31765006,484140
31886929,106
31906301,750
34406808,1255
35612196,345
35795290,60
36059985,5
36529535,104
36757934,285
37302953,7266
38717058,59
602060,60
702914,899251
994555,2351904
1356521,87436
1370210,5
1627807,22
2503716,1362
3307186,8571
4074204,739
4486795,51118
5360781,24
5474445,1149892
5921281,677958
6172584,155
6225968,86530
6255054,796
6294212,1
6614447,318774
6754454,2079787
8588960,986908
8934508,442316
8969502,2422390
10112780,2060711
10887590,75
11000942,1
11215671,17
11569842,27
11952849,52
14264774,171
14543003,89
14590031,2
15053602,103
15286568,37639
16542932,527961
17166198,1895156
17885330,11
18130188,747
18354841,2
18598455,86
18698971,92
19035909,5
19672432,186
19821137,64
21816051,15299
22189062,76
22192603,294
23302645,159891
25844698,96
26575813,2999
26763944,1055
27190674,5
28195956,330
28468138,183
30831803,179
31433121,1810
31490290,2019
31929069,1
31994318,12
33312447,5517
34835669,634
35855598,125564
36418998,96
36450278,689
37837421,69196
38079919,19
38355470,108
39152038,37
40877485,3376
41022386,542
2410596,417
12858771,14
23722813,18055
25477102,109976
41812121,49816
10148701,81
12985357,607
15283487,1080
20484038,301
26572557,148
30486212,62893
33274684,1
35295936,1
9133887,10092
10872,0
167014,2851405
657477,10080
794263,438
842071,792
1059047,35020
1148500,745
1245485,1889
1411311,533191
1657927,112948
2016486,2253
2058167,417
2087302,62448
2126226,0
2432256,135360
2866615,278
2894247,2402699
2969283,582
3335371,215
3743496,2035
3753417,272473
4485808,814
6044580,203111
7498823,0
7667485,1910067
7864474,1440
8406682,1004
9486443,2202480
9910058,642
9969539,0
10365469,1553358
10474890,15802
11818944,1086
12697309,186936
13239129,1221
13291195,1747703
15583685,63360
16090153,2206
16740880,813
16845696,993
17691611,727133
18220663,699402
18371287,0
18633363,7200
18860906,744
18948881,680
19847184,755
21444584,1191721
21861814,479
22217790,2880
22310487,778
23386213,0
23408387,76
23809712,153
24782836,127
26064350,346
26413017,495
26479570,1440
27039518,3224
27935790,381520
28890827,0
30049936,61920
31186358,1721
38642,1029594
2593076,7
6454753,4
6755108,119
6873973,2619185
9710523,1024
10622784,1
12004210,85
14056631,5
14712484,1224
16166741,677
16482965,6
26163209,63
30738785,3
32883888,377
33307154,11
34903906,1534
60673,3073899
71277,31636
97114,1042
119114,603
286826,209
287379,101
296147,7
329043,1841374
367368,1629782
408908,1794
410865,238
440364,780850
443586,92
479979,2308162
480248,2133213
507225,140060
525283,2294510
559881,114
560040,1228246
904745,578617
932344,16485
941669,76
970017,3
1001307,4036199
1015207,7
1113666,23
1213576,2805988
1221343,2192085
1232246,2079142
1269452,893
1293585,122423
1297306,2966636
1311559,115
1439607,3164311
1440728,303088
1464824,11
1473636,2
1508856,965495
1519060,1412389
1535314,69859
1655937,556419
1709850,815330
1715989,89
1850636,0
1920992,4
1966577,276
1977433,150
2027457,1
2128875,78
2153105,17741
2253747,89
2338841,808
2355300,113
2406117,406
2408890,1332
2410301,3035456
2411809,1547
2452220,261
2460787,845
2506632,26
2549167,514
2581375,252
2654718,2627579
2695364,9
2736411,1490687
2755470,2008410
2820808,4
2830957,91
2855629,2552441
2916239,19
2923210,2500532
2940437,2941511
2950978,69213
2951128,2610803
3076048,3232766
3101610,1535103
3121920,2650083
3129916,107
3195518,272954
3263155,18
3311390,5
3321155,1321
3366535,14286
3408340,62180
3441178,254332
3456738,2170714
3691018,163
3786827,1866953
3806738,8
3842590,1
3894079,82
3942174,2816652
3963989,420
3968628,147842
4128974,41159
4168825,854588
4202566,187
4247022,16245
4350764,147017
4416415,1
4441397,6
4469645,493
4526113,2853453
4581700,199
4633879,13
4686283,0
4704092,88631
4764031,0
4779611,1671
4868227,336
4890095,11
4969867,160026
5013002,2713516
5046159,105
5090605,12055
5116977,428617
5127970,1455477
5176929,755
5295442,217778
5305717,20
5308110,1
5330590,429128
5349812,128
5402974,155
5478241,658147
5540884,411
5566482,1
5601581,104
5613637,21
5795354,7
5795920,4
6052896,190
6090716,89
6100871,1110341
6200488,151
6232144,52
6258775,54
6298830,2667892
6310609,907396
6338244,4
6492581,68
6550164,4
6579661,1391
6650693,3
6655696,1706173
6698743,29772
6749297,0
6790274,950094
6807406,797067
6828321,10
6917585,44
7008014,17
7182264,103
7331811,893307
7375037,1288162
7493552,2145081
7507784,1707360
7608800,13
7741720,75289
7746485,415308
7801969,423
7828041,2374847
8024790,54
8147877,3
8309569,1420552
8324947,223751
8460797,4
8579654,22989
8717656,322
8913529,1047
8937701,9
9030315,89
9053429,406
9065115,7
9389673,556646
9562598,1628789
9695207,2263187
9735273,38
9785851,12
9815038,16880
9826451,176
9955694,4
9992585,16
10211326,205
10214144,313576
10368305,116
10402822,12773
10646531,567778
10855810,170
10928966,447
10985991,5
11036389,14
11055336,31141
11131302,469
11143026,5
11433954,85
11452074,81
11650596,1
11666905,491797
11685427,1
11832654,90
11870266,17221
12093169,98
12162919,9
12200301,1863066
12360949,426922
12463675,0
12589685,437658
12686014,7
12729827,142
12873715,134
13170812,965
13320285,1116
13378025,89
13787490,93
14130255,0
14169735,432589
14207755,73
14327207,6
14684946,88
14830958,97
15174808,76925
15284487,1287487
15299539,4077
15520239,1028390
15584690,351
15842614,99
15942936,397304
16061361,67040
16430592,3
16538973,100780
16653321,8
16992793,490
17034898,340
17059753,1877638
17062684,62
17375037,98
17723733,254285
17783254,35062
17804373,26
18136800,5
18147059,2945
18374263,2402
18663331,400
18746550,18
18858146,4746
18993445,98532
19684155,918663
19726791,6135
19785923,136
19871612,1618819
19976892,257706
20559708,3436
20686527,10
20941270,888
21272744,69
21277933,10
21693233,70
21700274,154
21824597,226
21995504,795892
22296514,1543220
22425542,13919
22529340,489
22544717,0
22565960,483515
22762201,88
22958965,1298734
23000291,250
23236548,6
23400207,269
23704097,366
23803023,374
23830822,35
24127491,4
24184810,223
24369272,1102673
24396293,1244658
24532467,81
24546912,81
25225149,460
25226325,2998
25376496,0
26087884,18
26152305,403
26254975,6811
26634744,19812
27053343,457
27219858,75
28075962,9898
28155293,14
28187434,92
28453092,1
29060043,96301
29079619,202946
29410809,291
29468724,12
29576423,4588
29629947,8
29814047,93
30266009,3416
30352580,56
30644743,54
30827925,97
30838406,1533
31540446,110817
31565989,40
32481719,104
32587431,490121
33015150,17
33458845,233
33770374,99
33781140,4
33918130,7
34071716,8
34100118,77
