id,time
6100871,352
6200488,351
6232144,346
6258775,345
6298830,340
6310609,338
6338244,337
6492581,336
6550164,330
6579661,329
6650693,322
6655696,301
6698743,294
6749297,294
6790274,291
6807406,291
6828321,285
6917585,278
7008014,277
7182264,276
7331811,269
7375037,268
7493552,261
7507784,255
7608800,254
7741720,252
7746485,250
7801969,238
7828041,233
8024790,231
8147877,226
8309569,226
8324947,223
8460797,215
8579654,215
8717656,215
8913529,211
8937701,209
9030315,209
9053429,205
9065115,203
9389673,202
9562598,199
9695207,199
9735273,190
9785851,187
9815038,186
9826451,186
9955694,183
9992585,181
10211326,179
10214144,176
10368305,174
10402822,171
10646531,170
10855810,163
10928966,162
10985991,155
11036389,155
11055336,155
11131302,154
11143026,153
11433954,152
11452074,152
11650596,151
11666905,150
11685427,149
11832654,149
11870266,148
12093169,148
12162919,148
12200301,142
12360949,137
12463675,136
12589685,134
12686014,131
12729827,128
12873715,128
13170812,127
13320285,119
13378025,116
13787490,115
14130255,114
14169735,113
14207755,111
14327207,110
14684946,110
14830958,109
15174808,108
15284487,108
15299539,107
15520239,106
15584690,105
15842614,104
15942936,104
16061361,104
16430592,103
16538973,103
16653321,102
16992793,102
17034898,102
17059753,102
17062684,101
17375037,99
17723733,99
17783254,98
17804373,98
18136800,97
18147059,97
18374263,97
18663331,97
18746550,97
18858146,96
18993445,96
19684155,96
19726791,96
19785923,94
19871612,94
19976892,93
20559708,93
20686527,93
20941270,93
21272744,92
21277933,92
21693233,92
21700274,92
21824597,91
21995504,90
22296514,89
22425542,89
22529340,89
22544717,89
22565960,89
22762201,89
22958965,88
23000291,88
23236548,88
23400207,87
23704097,87
23803023,87
23830822,86
24127491,85
24184810,85
24369272,85
24396293,83
24532467,83
24546912,82
25225149,82
25226325,81
25376496,81
26087884,81
26152305,81
26254975,81
26634744,79
27053343,78
27219858,78
28075962,77
28155293,76
28187434,76
28453092,76
29060043,75
29079619,75
29410809,73
29468724,73
29576423,72
29629947,70
29814047,69
30266009,69
30352580,68
30644743,64
30827925,63
30838406,62
31540446,62
31565989,60
32481719,60
32587431,59
33015150,56
33458845,56
33770374,56
33781140,56
33918130,55
34071716,54
34100118,54
34112980,54
34256592,52
34327430,52
34363635,52
34380859,50
35896090,44
35949853,40
36570911,40
37526598,38
38648775,37
38894078,35
39291850,27
39614294,26
39994054,26
40385195,26
40897461,26
40911804,25
41005932,25
414788,24
762833,23
764890,23
920560,22
1196808,21
1628588,21
1802107,20
1813853,20
2012496,20
2623462,19
3223753,19
3336200,18
3399019,18
3452355,18
3720034,18
3799091,18
4469550,18
4675481,18
5033666,17
5754857,17
5781843,17
5946218,17
6214690,17
6234755,16
6346821,16
6522526,15
6706076,14
7093663,14
7118314,14
7218671,14
7358629,14
7419167,13
7470537,13
7548975,12
7555326,12
8010234,12
8539510,12
8562412,12
8883818,12
8962633,11
9205316,11
11506277,11
12617667,11
12768306,11
12768942,11
12792968,11
13061947,10
13169943,10
13188732,10
13240081,10
13516476,10
14341709,10
14349844,9
14478859,9
14556336,9
14805073,9
15081471,9
15338879,9
15687138,8
16382589,8
16581888,8
16794425,8
17447838,8
18406622,8
19084981,8
20384656,8
20397675,7
20906861,7
21018466,7
21772256,7
22661464,7
22965411,7
22991068,7
23021328,7
23750693,7
23891347,7
25224541,7
25544587,7
26729319,6
27170165,6
27616789,6
29909665,6
29944454,6
30465466,6
30470528,6
31192189,6
31842275,5
31872889,5
32145352,5
32427967,5
32647391,5
34086390,5
34146392,5
34337679,5
34688765,5
35677969,5
35875835,5
36752850,5
36953612,4
39239624,4
39826865,4
39829098,4
40178080,4
40978316,4
42063553,4
722932,4
1421485,4
2012496,4
2038640,4
2441882,4
2703528,4
2733871,4
2939368,4
3399019,4
3515169,4
3600162,4
4019770,4
4782859,3
4975394,3
5010286,3
5127512,3
5213178,3
5402665,3
5420451,3
5444860,3
5537107,3
6358546,3
6683925,3
6973749,3
7114569,3
8071493,3
8169339,3
8483955,3
9038738,2
9232227,2
9272484,2
9349230,2
9764481,2
9850445,2
10295584,2
12034102,2
12131019,2
12960820,2
13333181,2
14079478,2
14305189,1
15117591,1
15800178,1
16095768,1
16382589,1
17154104,1
17217582,1
17359424,1
17447838,1
19042690,1
19117835,1
19538869,1
19630642,1
19968470,1
20179760,1
20389064,1
21584362,1
22269604,1
22729364,1
22769919,1
23490923,1
23696115,1
23794435,1
23891347,1
24966585,1
26460998,0
26940456,0
27576719,0
27995095,0
30023748,0
30137563,0
30428444,0
30734785,0
31257269,0
32142278,0
32327354,0
35721051,0
36373129,0
36836337,0
37697475,0
38888976,0
40629479,0
42194320,0
