id,time
17532,4
30026,2
212429,2
221550,114
376019,6
415522,6
552786,125
745850,6
874242,3
883049,4
1397653,10
2097670,3
2379878,13
2539276,16
2569187,2
2993200,6
3073243,8
3129387,287
3208235,6
3429560,2
3459721,98
3514550,3
4193749,2
4512406,7
4515135,156
4542025,27
4911400,22
5048349,15
6144262,20
6192837,23
6483709,7
6786106,113
7028877,28
7728229,225
7854027,13
8070557,3
8329871,1
8578349,4
9614412,2
9622039,180
11419915,101
12315670,5659
12427717,16
12727893,11946
13886632,0
14301214,8
14322966,5
14379092,13
15277539,3
16594080,4
16597475,3
16944161,4
18665896,1434
19456112,455587
19672432,4
20293674,113
20498058,6
20590134,20
20721649,22
20907068,4
20949496,9
22388854,10360
24476799,17
25236845,13
25373220,7
25500211,101
27054162,10851
27260860,8
29002002,5754
30363224,346
31765006,6531
31886929,27
31906301,72
34406808,586
35612196,175
35795290,174
36059985,14
36529535,2
36757934,11
37302953,1681
38717058,16
602060,5
702914,88
994555,209
1356521,466
1370210,6
1627807,3
2503716,558
3307186,153
4074204,116
4486795,224
5360781,3
5474445,9
5921281,4498
6172584,5
6225968,10
6255054,113
6294212,11
6614447,27
6754454,5
8588960,2
8934508,517
8969502,12
10112780,80
10887590,24
11000942,3
11215671,227
11569842,164
11952849,16
14264774,27
14543003,8
14590031,4
15053602,14
15286568,163
16542932,9
17166198,107026
17885330,13
18130188,5
18354841,8
18598455,6
18698971,4
19035909,0
19672432,4
19821137,161
21816051,6539
22189062,26
22192603,6
23302645,41216
25844698,5
26575813,94
26763944,256
27190674,0
28195956,7
28468138,28
30831803,95
31433121,1628
31490290,1076
31929069,3
31994318,68
33312447,3525
34835669,264
35855598,2552
36418998,15
36450278,18
37837421,87
38079919,10
38355470,105
39152038,94
40877485,1249
41022386,7
2410596,22
12858771,91
23722813,12734
25477102,61170
41812121,640
10148701,671
12985357,628
15283487,115
20484038,95
26572557,508
30486212,112
33274684,13
35295936,20
9133887,4260
10872,694
167014,899
657477,551
794263,989
842071,1343
1059047,16851
1148500,1296
1245485,1000
1411311,942
1657927,2619
2016486,1364
2058167,968
2087302,1019
2126226,476
2432256,671
2866615,949
2894247,28870
2969283,1253
3335371,886
3743496,1266
3753417,167964
4485808,1485
6044580,3622
7498823,677
7667485,1304
7864474,309
8406682,1313
9486443,1029
9910058,951
9969539,19
10365469,1057
10474890,2861
11818944,1105
12697309,80395
13239129,1240
13291195,942
15583685,320
16090153,1086
16740880,1133
16845696,1313
17691611,8953
18220663,2822
18371287,280
18633363,603
18860906,1347
18948881,1283
19847184,1358
21444584,1384
21861814,1082
22217790,443
22310487,1221
23386213,715
23408387,791
23809712,868
24782836,842
26064350,1061
26413017,1210
26479570,398
27039518,742
27935790,1698
28890827,76
30049936,604
31186358,885
38642,2
2593076,16
6454753,4
6755108,15
6873973,7
9710523,1075
10622784,8
12004210,21
14056631,92
14712484,376
16166741,14
16482965,8
26163209,9
30738785,4
32883888,110
33307154,3
34903906,335
60673,20
71277,473
97114,5
119114,3
286826,8
287379,3
296147,13
329043,28
367368,118
408908,7
410865,6
440364,96
443586,4
479979,62
480248,3
507225,261
525283,23
559881,25
560040,3
904745,13
932344,4
941669,8
970017,19
1001307,3
1015207,6
1113666,3
1213576,4
1221343,26
1232246,149
1269452,7
1293585,213
1297306,1370
1311559,2
1439607,2
1440728,305
1464824,3
1473636,5
1508856,47970
1519060,4
1535314,723
1655937,13
1709850,14
1715989,2
1850636,7
1920992,12
1966577,4
1977433,4
2027457,6
2128875,18
2153105,6
2253747,5
2338841,8
2355300,5
2406117,4
2408890,5
2410301,15
2411809,3
2452220,386
2460787,153
2506632,2
2549167,147
2581375,10
2654718,29
2695364,3
2736411,159
2755470,70
2820808,5
2830957,6
2855629,6
2916239,2
2923210,1150
2940437,4
2950978,116
2951128,10
3076048,13
3101610,2
3121920,1689
3129916,104
3195518,232
3263155,5
3311390,5
3321155,91
3366535,6
3408340,23
3441178,6
3456738,11
3691018,17
3786827,3
3806738,9
3842590,2
3894079,17
3942174,3
3963989,61
3968628,9
4128974,22
4168825,4
4202566,679
4247022,4
4350764,155
4416415,3
4441397,9
4469645,3
4526113,4
4581700,9
4633879,11
4686283,8
4704092,190
4764031,11
4779611,3
4868227,14
4890095,7
4969867,2
5013002,21
5046159,10
5090605,6
5116977,4
5127970,9
5176929,75
5295442,5
5305717,2
5308110,6
5330590,13
5349812,11
5402974,25
5478241,986
5540884,8
5566482,9
5601581,10
5613637,4
5795354,7
5795920,11
6052896,25
6090716,10
6100871,9
6200488,7
6232144,11
6258775,24
6298830,5
6310609,4
6338244,7
6492581,4
6550164,8
6579661,5
6650693,134
6655696,2
6698743,3
6749297,5
6790274,3
6807406,95
6828321,2
6917585,23
7008014,6
7182264,17
7331811,138
7375037,235
7493552,1164
7507784,19
7608800,2
7741720,5
7746485,110670
7801969,672
7828041,596
8024790,13
8147877,6
8309569,16
8324947,5
8460797,3
8579654,27
8717656,14
8913529,6
8937701,5
9030315,28
9053429,236
9065115,1
9389673,105
9562598,5
9695207,17
9735273,115
