id,time
60673,0:20
71277,7:53
97114,0:5
119114,0:3
286826,0:8
287379,0:3
296147,0:13
329043,0:28
367368,1:58
408908,0:7
410865,0:6
440364,1:36
443586,0:4
479979,1:2
480248,0:3
507225,4:21
525283,0:23
559881,0:25
560040,0:3
568268,0:24
653205,0:6
904745,0:13
932344,0:4
941669,0:8
957495,0:10
970017,0:19
1001307,0:3
1015207,0:6
1113666,0:3
1213576,0:4
1221343,0:26
1232246,2:29
1259502,0:5
1269452,0:7
1293585,3:33
1311559,0:2
1358159,0:11
1439607,0:2
1440728,5:5
1464824,0:3
1473636,0:5
1519060,0:4
1596726,1:44
1655937,0:13
1709850,0:14
1715989,0:2
1819309,0:5
1850636,0:7
1920992,0:12
1966577,0:4
1977433,0:4
1981212,0:8
2027457,0:6
2072716,0:26
2128875,0:18
2153105,0:6
2253747,0:5
2265566,0:6
2323213,1:2
2338841,0:8
2355300,0:5
2406117,0:4
2408890,0:5
2410301,0:15
2411809,0:3
2452220,6:26
2460787,2:33
2506632,0:2
2519978,1:20
2549167,2:27
2581375,0:10
2654718,0:29
2695364,0:3
2736411,2:39
2755470,1:10
2820808,0:5
2830957,0:6
2842560,0:3
2855629,0:6
2916239,0:2
2940437,0:4
2950978,1:56
2951128,0:10
3076048,0:13
3084443,1:8
3101610,0:2
3129916,1:44
3189189,3:13
3191402,2:37
3195518,3:52
3212101,4:26
3263155,0:5
3311390,0:5
3321155,1:31
3366535,0:6
3408340,0:23
3441178,0:6
3456738,0:11
3614894,0:13
3683441,1:14
3691018,0:17
3734305,0:14
3786827,0:3
3806738,0:9
3842590,0:2
3894079,0:17
3942174,0:3
3944207,10:43
3963989,1:1
3968628,0:9
3994878,1:31
4128974,0:22
4168825,0:4
4202566,11:19
4247022,0:4
4350764,2:35
4367988,0:11
4416415,0:3
4441397,0:9
4469645,0:3
4473632,1:44
4506299,1:39
4526113,0:4
4581700,0:9
4597172,0:3
4633879,0:11
4686283,0:8
4704092,3:10
4764031,0:11
4779611,0:3
4793122,1:9
4868227,0:14
4890095,0:7
4969867,0:2
4979560,0:20
5013002,0:21
5046159,0:10
5090605,0:6
5116977,0:4
5127970,0:9
5176929,1:15
5200281,0:18
5204037,0:3
5295442,0:5
5305717,0:2
5308110,0:6
5330590,0:13
5349812,0:11
5402974,0:25
5540884,0:8
5557474,0:10
5566482,0:9
5601581,0:10
5613637,0:4
5795354,0:7
5795920,0:11
5860645,1:39
5970951,0:12
6052896,0:25
6090716,0:10
6097212,0:23
6100871,0:9
6200488,0:7
6232144,0:11
6258775,0:24
6298830,0:5
6310609,0:4
6338244,0:7
6492581,0:4
6509996,0:22
6550164,0:8
6579661,0:5
6650693,2:14
6655696,0:2
6698743,0:3
6749297,0:5
6790274,0:3
6807406,1:35
6828321,0:2
6917585,0:23
7008014,0:6
7061528,1:34
7094647,1:35
7182264,0:17
7189450,2:1
7196335,0:2
7331811,2:18
7375037,3:55
7497207,0:12
7507784,0:19
7523023,0:6
7608800,0:2
7741720,0:5
7801969,11:12
7828041,9:56
8024790,0:13
8119544,0:23
8124538,0:14
8147877,0:6
8242172,0:4
8277874,0:4
8309569,0:16
8324947,0:5
8447090,0:3
8456420,1:24
8460797,0:3
8514725,2:32
8522044,1:41
8579654,0:27
8717656,0:14
8836388,1:53
8872751,0:11
8913529,0:6
8937701,0:5
9030315,0:28
9053429,3:56
9065115,0:1
9193931,0:22
9316032,1:46
9389673,1:45
9503720,0:11
9562598,0:5
9631833,3:43
9695207,0:17
9735273,1:55
9785851,0:2
9826451,0:27
9843031,0:28
9955694,0:19
9975733,2:44
9992585,3:52
9996681,1:50
10211326,3:48
10214144,3:14
10278243,0:9
10368305,0:2
10378467,0:28
10402822,1:42
10505737,0:30
10646531,5:59
10714668,2:37
10855810,0:6
10928966,0:12
10985991,0:4
11030792,2:10
11036389,0:9
11055336,0:4
11131302,1:29
11143026,1:55
11149009,4:45
11232107,0:7
11302698,0:19
11433954,0:9
11452074,0:5
11461726,0:29
11619575,0:10
11650596,1:45
11666905,0:12
11685427,0:5
11725089,4:20
11801323,0:6
11832654,0:13
11866324,1:27
11870266,4:45
12093169,0:6
12162919,0:1
12200301,6:52
12201578,4:37
12463675,0:2
12526325,0:15
12589685,8:47
12686014,0:3
12729827,0:8
12788870,1:33
12873715,0:3
12955379,0:6
13165731,2:1
13170812,1:14
13255645,1:2
13265932,0:3
13320285,9:35
13378025,0:3
13412488,2:43
13787490,0:6
13799199,4:45
13807057,0:3
13873717,9:12
13916188,0:7
14130255,0:7
14207755,0:18
14327207,0:6
14435706,0:2
14573292,1:38
14580969,0:15
14684946,0:3
14830958,0:5
14899628,0:6
15168717,0:5
15174808,1:19
15242600,0:27
15284487,0:2
15326998,0:17
15473643,0:10
15520239,0:4
15584690,1:15
15778453,2:29
15842614,0:4
15942936,0:18
16022574,0:6
16061361,0:20
16266414,4:59
16308336,0:3
16415625,0:27
16430592,0:9
16538973,0:6
16544428,1:34
16556813,0:25
16564042,0:12
16587247,0:2
16653321,1:35
16670579,0:7
16678441,0:26
16721567,0:15
16992793,0:10
17034898,6:3
17059753,9:38
17062684,2:35
17183648,1:60
17186114,1:14
17340377,3:8
17375037,0:2
17510945,0:6
17531201,2:52
17697368,0:15
17723733,1:58
17804373,0:2
18136800,0:6
18147059,0:7
