id,time
60673,20
71277,473
97114,5
119114,3
286826,8
287379,3
296147,13
329043,28
367368,118
408908,7
410865,6
440364,96
443586,4
479979,62
480248,3
507225,261
525283,23
559881,25
560040,3
568268,24
653205,6
904745,13
932344,4
941669,8
957495,10
970017,19
1001307,3
1015207,6
1113666,3
1213576,4
1221343,26
1232246,149
1245478,149
1259502,5
1269452,7
1293585,213
1297306,213
1311559,2
1358159,11
1439607,2
1440728,305
1464824,3
1473636,5
1508856,5
1519060,4
1535314,4
1596726,104
1655937,13
1709850,14
1715989,2
1819309,5
1850636,7
1920992,12
1966577,4
1977433,4
1981212,8
2027457,6
2072716,26
2128875,18
2153105,6
2253747,5
2265566,6
2323213,62
2338841,8
2355300,5
2406117,4
2408890,5
2410301,15
2411809,3
2452220,386
2460787,153
2506632,2
2518339,2
2519978,80
2549167,147
2581375,10
2654718,29
2695364,3
2736411,159
2755470,70
2770890,70
2820808,5
2830957,6
2842560,3
2855629,6
2916239,2
2923210,2
2940437,4
2950978,116
2951128,10
2955842,10
3076048,13
3084443,68
3101610,2
3121920,2
3129916,104
3189189,193
3191402,157
3195518,232
3212101,266
3263155,5
3286512,5
3311390,5
3321155,91
3366535,6
3407066,6
3408340,23
3441178,6
3456738,11
3614894,13
3683441,74
3691018,17
3734305,14
3786827,3
3806738,9
3842590,2
3894079,17
3942174,3
3944207,643
3963989,61
3968628,9
3994878,91
4128974,22
4168825,4
4202566,679
4247022,4
4350764,155
4367988,11
4416415,3
4441397,9
4469645,3
4473632,104
4506299,99
4526113,4
4581700,9
4597172,3
4633879,11
4686283,8
4704092,190
4764031,11
4779611,3
4793122,69
4868227,14
4890095,7
4969867,2
4979560,20
5013002,21
5040995,21
5046159,10
5090605,6
5116977,4
5127970,9
5176929,75
5200281,18
5204037,3
5295442,5
5305717,2
5308110,6
5330590,13
5349812,11
5402974,25
5478241,25
5540884,8
5557474,10
5559317,10
5566135,10
5566482,9
5601581,10
5613637,4
5706921,4
5795354,7
5795920,11
5860645,99
5879809,99
5970951,12
6052896,25
6090716,10
6097212,23
6100871,9
6105872,9
6200488,7
6232144,11
6258775,24
6298830,5
6306825,5
6310609,4
6338244,7
6492581,4
6509996,22
6550164,8
6579661,5
6650693,134
6655696,2
6698743,3
6749297,5
6790274,3
6807406,95
6828321,2
6917585,23
7008014,6
7061528,94
7094647,95
7182264,17
7189450,121
7196335,2
7218280,2
7331811,138
7375037,235
7493552,235
7493633,235
7497207,12
7507784,19
7523023,6
7608800,2
7741720,5
7746485,5
7801969,672
7828041,596
8024790,13
8119544,23
8124538,14
8147877,6
8242172,4
8277874,4
8309569,16
8324947,5
8447090,3
8456420,84
8460797,3
8514725,152
8522044,101
8579654,27
8621056,27
8717656,14
8833060,14
8836388,113
8872751,11
8913529,6
8937701,5
9030315,28
9053429,236
9065115,1
9178316,1
9193931,22
9316032,106
9389673,105
9503720,11
9562598,5
9631833,223
9695207,17
9735273,115
9785851,2
9815038,2
9826451,27
9843031,28
9955694,19
9975733,164
9992585,232
9996681,110
10211326,228
10214144,194
10278243,9
10368305,2
10378467,28
10402822,102
10486578,102
10505737,30
10646531,359
10714668,157
10737926,157
10855810,6
10928966,12
10985991,4
11030792,130
11036389,9
11055336,4
11131302,89
11143026,115
11149009,285
11187005,285
11232107,7
11302698,19
11433954,9
11437459,9
11452074,5
11461726,29
11619575,10
11650596,105
11666905,12
11672625,12
11685427,5
11690909,5
11725089,260
11801323,6
11832654,13
11866324,87
11870266,285
12093169,6
12162919,1
12200301,412
12201578,277
12360949,277
12463675,2
12526325,15
12589685,527
12686014,3
12729827,8
12788870,93
12873715,3
12955379,6
13165731,121
13170812,74
13244384,74
13255645,62
13265932,3
13320285,575
13344404,575
13378025,3
13412488,163
13539049,163
13787490,6
13799199,285
13807057,3
13873717,552
13916188,7
14130255,7
14169735,7
14207755,18
14327207,6
14380971,6
14435706,2
14460314,2
14573292,98
14580969,15
14684946,3
14830958,5
14855135,5
14899628,6
15168717,5
15174808,79
15242600,27
15284487,2
15299539,2
15326998,17
15473643,10
15520239,4
15584690,75
15590920,75
15778453,149
15842614,4
15942936,18
16022574,6
16061361,20
16266414,299
16308336,3
16415625,27
16430592,9
16538973,6
16544428,94
16556813,25
16564042,12
16587247,2
16652677,2
16653321,95
16670579,7
16678441,26
16721567,15
16992793,10
17034898,363
17059753,578
17062684,155
17183648,120
17186114,74
17340377,188
17375037,2
17402246,2
17510945,6
17531201,172
17697368,15
17723733,118
17783254,118
17804373,2
17868722,2
18070188,2
18093539,2
18136800,6
18147059,7
18158181,276
18239201,145
18364842,145
18374263,145
18449418,145
18468006,7
18499550,6
18535706,2
18578146,3
18641163,97
18663331,7
18718151,7
18746550,6
18790332,64
18858146,523
18993445,523
19174970,63
19177930,153
19185543,75
19387043,338
19461349,4
19465228,88
19499889,13
19573966,152
19620401,13
19655647,4
19664582,265
19684155,2
19726791,336
19740576,336
19785923,13
19871612,155
19892416,295
19970312,295
19976892,12
20162442,4
20259607,6
20266427,6
20353968,104
20401328,188
20490450,207
20546702,7
20550660,20
20559708,570
20599837,491
20686527,6
20941270,9
21235933,22
21272744,25
21277933,11
21323234,2
21400970,2
21508421,3
21693233,92
21700274,317
21824597,112
21995504,2
22119641,2
22296514,2
22339856,4
22341063,152
22425542,152
22529340,10
22544717,9
22565960,14
22738635,65
22762201,7
22805613,7
22813606,7
22958965,7
23000291,15
23195044,308
23236548,9
23245659,102
23382015,17
23400207,5
23704097,15
23803023,26
23830822,97
23968248,689
24072013,689
24127491,5
24157714,124
24184810,70
24297154,10
24369272,221
24396293,8
24403551,19
24501368,27
24519737,0
24532467,24
24546912,23
24677857,23
24738281,23
24848771,23
25184148,90
25225149,502
25226325,502
25228182,222
25376496,3
25897492,7
25986863,144
26034586,144
26087884,9
26152305,114
26184094,27
26231757,27
26245182,356
26254975,356
26286174,215
26489640,215
26634744,18
26663827,752
26818198,752
27049999,752
27053343,6
27130634,6
27219858,8
27254175,103
27452847,6
27557592,96
27632660,149
27759933,149
27877390,391
27942386,120
28075962,4
28155293,98
28187434,62
28326080,62
28419211,62
28453092,13
28549635,30
28646888,6
28815255,6
28818460,82
29060043,82
29061067,4
29079619,2
29216175,2
29399824,113
29410809,7
29468724,77
29547886,305
29576423,86
29629947,10
29668884,12
29814047,21
30080236,132
30266009,2
30352580,120
30644743,9
30827925,10
30838406,17
31275467,145
31372636,18
31379662,400
31521465,400
31540446,400
31565989,118
31569758,99
31585930,23
31616816,23
31654505,393
31734263,393
31799634,27
31967738,19
31978160,13
31983262,91
32096223,91
32246652,193
32252933,3
32398460,101
32481719,4
32587431,6
32590906,6
33015150,92
33048046,778
33103172,778
33458845,80
33710201,20
33770374,17
33781140,4
33832491,18
33918130,13
34071716,13
34085366,13
34100118,111
34112980,150
34256592,2
34301579,0
34327430,91
34338162,113
34363635,13
34380859,6
34394938,4
34446207,22
34777302,5
35583483,5
35689094,7
35703092,7
35703285,6
35896090,8
35949853,8
36570911,463
37044445,15
37107832,6
37450686,6
37477439,6
37526598,7
38292741,467
38412251,584
38543930,98
38648775,68
38887340,68
38894078,5
38950909,97
38966363,97
39097257,3
39179957,3
39291850,3
39328395,3
39393388,4
39579959,12
39614294,91
39778385,165
39813612,165
39862240,15
39994054,6
40332448,151
40385195,151
40415392,62
40434424,110
40455338,223
40528656,96
40620646,96
40863157,206
40897461,206
40911804,24
41005932,253
41228820,253
41233923,161
41288032,5
41425972,173
41473982,173
41985790,94
42207831,92
42216740,141
42355160,589
42436375,148
414788,7
762833,16
764890,22
920560,4
1163718,17
1196808,9
1628588,2
1802107,2
1813853,2
2012496,21
2623462,3
2998864,1
3028691,117
3223753,5
3336200,5
3399019,22
3452355,234
3571457,9
3720034,6
3799091,4
4469550,3
4675481,3
4893681,94
4955965,23
5033666,2
5710635,96
5712253,96
5754857,7
5781843,8
5803819,8
5836813,8
5946218,4
6041021,4
6214690,9
6234755,3
6346821,2
6522526,2
6706076,2
6935080,2
7002719,2
7093663,3
7118314,81
7218671,81
7358629,2
7419167,14
7470537,3
7500911,6
7548975,98
7555326,75
7774623,133
8010234,7
8042821,11
8539510,10
8562412,8
8636235,660
8883818,21
8962633,27
9096018,27
9205316,17
10089739,17
10280321,17
11327941,17
11332203,17
11506277,10
12339969,9
12617667,7
12633345,61
12720877,431
12760828,19
12768306,364
12768942,3
12792968,3
13061947,2
13169943,2
13188732,2
13240081,1
13322041,280
13516476,280
13957970,280
14302846,133
14341709,100
14349844,3
14478859,5
14556336,7
14805073,17
15013060,773
