id,time
17532,39151
30026,380262
212429,923099
221550,164
376019,62
415522,3592311
552786,812330
745850,2103
874242,288614
883049,29
1397653,1774669
2097670,15
2379878,1699
2539276,1285
2569187,6397
2993200,3169286
3073243,18
3129387,589649
3208235,117
3429560,140616
3459721,807495
3514550,21
4193749,2521616
4512406,101
4515135,293
4542025,28
4911400,3141072
5048349,1105
6144262,1277
6192837,1181685
6483709,69
6786106,6208
7028877,416
7728229,8099
7854027,102295
8070557,11
8329871,353
8578349,2350488
9614412,8
9622039,554
11419915,40533
12315670,579471
12427717,20
12727893,17794
13886632,10
14301214,157
14322966,98
14379092,439
15277539,29
16594080,4
16597475,158
16944161,8
18665896,2061
19456112,1233911
19672432,190
20293674,247451
20498058,103
20590134,23238
20721649,74702
20907068,386185
20949496,1095576
22388854,15875
24476799,553
25236845,91
25373220,11
25500211,1283
27054162,1155289
27260860,472
29002002,11496
30363224,354
31765006,484486
31886929,133
31906301,822
34406808,1841
35612196,520
35795290,234
36059985,19
36529535,106
36757934,296
37302953,7277
38717058,75
602060,65
702914,899339
994555,2352113
1356521,87902
1370210,11
1627807,25
2503716,1920
3307186,8724
4074204,855
4486795,51342
5360781,27
5474445,1149901
5921281,677967
6172584,160
6225968,86540
6255054,909
6294212,12
6614447,318801
6754454,2079792
8588960,986910
8934508,442833
8969502,2422402
10112780,2060791
10887590,99
11000942,4
11215671,244
11569842,137
11952849,68
14264774,198
14543003,97
14590031,6
15053602,117
15286568,37802
16542932,527970
17166198,1895165
17885330,24
18130188,752
18354841,10
18598455,92
18698971,96
19035909,5
19672432,190
19821137,225
21816051,15460
22189062,102
22192603,300
23302645,159897
25844698,101
26575813,3093
26763944,1311
27190674,5
28195956,337
28468138,211
30831803,274
31433121,1905
31490290,2114
31929069,4
31994318,80
33312447,5585
34835669,898
35855598,125828
36418998,111
36450278,707
37837421,69283
38079919,29
38355470,213
39152038,131
40877485,3470
41022386,549
2410596,439
12858771,105
23722813,18146
25477102,110067
41812121,50456
10148701,752
12985357,1235
15283487,1195
20484038,396
26572557,656
30486212,63005
33274684,14
35295936,21
9133887,10092
10872,694
167014,2852099
657477,10631
794263,989
842071,1343
1059047,35571
1148500,1296
1245485,2440
1411311,533742
1657927,113499
2016486,2804
2058167,968
2087302,62999
2126226,476
2432256,136031
2866615,949
2894247,2403370
2969283,1253
3335371,886
3743496,2706
3753417,273144
4485808,1485
6044580,203782
7498823,677
7667485,1910744
7864474,1749
8406682,1313
9486443,2202789
9910058,951
9969539,19
10365469,1553377
10474890,15821
11818944,1105
12697309,186955
13239129,1240
13291195,1747722
15583685,63680
16090153,2526
16740880,1133
16845696,1313
17691611,727453
18220663,699722
18371287,280
18633363,7803
18860906,1347
18948881,1283
19847184,1358
21444584,1192324
21861814,1082
22217790,3323
22310487,1221
23386213,715
23408387,791
23809712,868
24782836,842
26064350,1061
26413017,1210
26479570,1838
27039518,3622
27935790,381918
28890827,76
30049936,62524
31186358,2325
38642,1029596
2593076,23
6454753,8
6755108,134
6873973,2619192
9710523,1031
10622784,9
12004210,106
14056631,97
14712484,1600
16166741,691
16482965,14
26163209,72
30738785,7
32883888,487
33307154,14
34903906,1869
60673,3073919
71277,32109
97114,1047
119114,606
286826,217
287379,104
296147,20
329043,1841402
367368,1629900
408908,1801
410865,244
440364,780946
443586,96
479979,2308224
480248,2133216
507225,140321
525283,2294533
559881,139
560040,1228249
904745,578630
932344,16489
941669,84
970017,22
1001307,4036202
1015207,13
1113666,26
1213576,2805992
1221343,2192111
1232246,2079291
1269452,900
1293585,122636
1297306,2966849
1311559,117
1439607,3164313
1440728,303393
1464824,14
1473636,7
1508856,965500
1519060,1412393
1535314,69863
1655937,556432
1709850,815344
1715989,91
1850636,7
1920992,16
1966577,280
1977433,154
2027457,7
2128875,96
2153105,17747
2253747,94
2338841,816
2355300,118
2406117,410
2408890,1337
2410301,3035471
2411809,1550
2452220,647
2460787,998
2506632,28
2549167,661
2581375,262
2654718,2627608
2695364,12
2736411,1490846
2755470,2008480
2820808,9
2830957,97
2855629,2552447
2916239,21
